dir,student,mode,seed,params,macro_f1,accuracy,ece,roc_auc,pr_auc,train_time_s,tag,benign_fpr,ironic_recall,obf_leet,obf_swap,obf_space,obf_mixed,int8_macro_f1,int8_size_mb,fp32_size_mb,int8_lat_b1,fp32_lat_b1
/kaggle/working/runs/tweets/teachers/deberta-base,deberta-base,teacher,1,,0.8719818649374179,0.8867313915857605,0.05302976362555327,,,3554.2361195087433,,0.4088335220838052,0.7730769230769231,,,,,,,,,
/kaggle/working/runs/tweets/teachers/irony,irony,teacher,1,,0.8926276297685806,0.90499306518724,0.06718648843367345,,,1041.2224674224854,,0.2944507361268403,0.717948717948718,,,,,,,,,
/kaggle/working/runs/tweets/teachers/bert-large,bert-large,teacher,1,,0.8972892994715852,0.907535829865927,0.05643187149828692,,,3710.2363831996918,,0.22423556058890148,0.5846153846153846,,,,,,,,,
/kaggle/working/runs/tweets/teachers/hatebert,hatebert,teacher,1,,0.8886761313725815,0.9010633379565418,0.0756373301981998,,,993.398021697998,,0.3171007927519819,0.6955128205128205,,,,,,,,,
/kaggle/working/runs/tweets/bilstm/dmthd_hetero/seed1,bilstm,dmthd_hetero,1,10446342.0,0.8767476645820507,0.8901987979657883,0.07501845792025483,,,257.43569350242615,,0.32163080407701017,0.6512820512820513,,,,,,,,,
/kaggle/working/runs/tweets/bilstm/dmthd_hetero/seed2,bilstm,dmthd_hetero,2,10446342.0,0.8738048148579284,0.8862690707350902,0.0716524506904877,,,257.98524737358093,,0.3250283125707814,0.6012820512820513,,,,,,,,,
/kaggle/working/runs/tweets/bilstm/dmthd_hetero/seed3,bilstm,dmthd_hetero,3,10446342.0,0.8786354445933297,0.8913546000924641,0.0700746735336601,,,259.50238394737244,,0.39071347678369195,0.6544871794871795,,,,,,,,,
/kaggle/working/runs/tweets/bilstm/ft/seed1,bilstm,ft,1,10446342.0,0.8719152515492713,0.8848821081830791,0.07521339873445296,,,212.12908172607422,,0.41336353340883353,0.6339743589743589,,,,,,,,,
/kaggle/working/runs/tweets/bilstm/ft/seed2,bilstm,ft,2,10446342.0,0.8715895561410236,0.8853444290337494,0.07507133594112599,,,211.38912296295166,,0.40090600226500567,0.6275641025641026,,,,,,,,,
/kaggle/working/runs/tweets/bilstm/ft/seed3,bilstm,ft,3,10446342.0,0.8643843037528024,0.8791030975496995,0.0815315725926828,,,210.52467513084412,,0.39071347678369195,0.6051282051282051,,,,,,,,,
/kaggle/working/runs/tweets/bilstm/dmthd/seed1,bilstm,dmthd,1,10446342.0,0.873004291923627,0.8871937124364309,0.07158524865802104,,,243.05879521369934,,0.3272933182332956,0.6525641025641026,,,,,0.8735549756930011,32.34925842285156,39.85603141784668,8.500602000012236,11.67906223828652
/kaggle/working/runs/tweets/bilstm/dmthd/seed2,bilstm,dmthd,2,10446342.0,0.8735977534921195,0.8858067498844198,0.07668673789616928,,,243.35611081123352,,0.347678369195923,0.6006410256410256,,,,,,,,,
